Job_ID,Start_Time,End_Time,CPU_Allocated,GPU_Allocated,CPU_Ratio,GPU_Ratio
559,89.0,,128,1,1.0000,0.0625
560,95.0,,128,0,1.0000,0.0000
561,95.0,,128,0,1.0000,0.0000
562,87.0,,128,1,1.0000,0.0625
563,111.0,,128,0,1.0000,0.0000
564,111.0,,128,2,1.0000,0.1250
565,111.0,,128,2,1.0000,0.1250
566,84.0,,128,0,1.0000,0.0000
567,84.0,,128,2,1.0000,0.1250
568,110.0,,128,0,1.0000,0.0000
569,110.0,,128,2,1.0000,0.1250
570,67.0,,128,1,1.0000,0.0625
571,67.0,,128,0,1.0000,0.0000
572,25.0,,128,2,1.0000,0.1250
573,91.0,,128,1,1.0000,0.0625
574,91.0,,128,2,1.0000,0.1250
575,16.0,,128,4,1.0000,0.2500
576,16.0,,128,0,1.0000,0.0000
577,16.0,,128,1,1.0000,0.0625
578,40.0,,128,1,1.0000,0.0625
579,40.0,,128,1,1.0000,0.0625
580,93.0,,128,2,1.0000,0.1250
581,93.0,,128,2,1.0000,0.1250
582,93.0,,128,4,1.0000,0.2500
583,93.0,,128,0,1.0000,0.0000
584,26.0,,128,4,1.0000,0.2500
585,26.0,,128,1,1.0000,0.0625
586,26.0,,128,4,1.0000,0.2500
587,58.0,,128,4,1.0000,0.2500
588,58.0,,128,2,1.0000,0.1250
589,58.0,,128,4,1.0000,0.2500
590,22.0,,128,4,1.0000,0.2500
591,22.0,,128,2,1.0000,0.1250
592,59.0,,128,1,1.0000,0.0625
593,59.0,,128,2,1.0000,0.1250
594,59.0,,128,2,1.0000,0.1250
595,78.0,,128,0,1.0000,0.0000
596,57.0,,128,4,1.0000,0.2500
597,41.0,,128,4,1.0000,0.2500
598,41.0,,128,2,1.0000,0.1250
599,41.0,,128,2,1.0000,0.1250
600,32.0,,128,2,1.0000,0.1250
601,32.0,,128,1,1.0000,0.0625
602,52.0,,128,1,1.0000,0.0625
603,52.0,,128,1,1.0000,0.0625
604,121.0,,128,4,1.0000,0.2500
605,87.0,,128,0,1.0000,0.0000
606,87.0,,128,0,1.0000,0.0000
607,87.0,,128,4,1.0000,0.2500
608,73.0,,128,1,1.0000,0.0625
609,73.0,,128,1,1.0000,0.0625
610,87.0,,128,1,1.0000,0.0625
611,87.0,,128,0,1.0000,0.0000
612,102.0,,128,1,1.0000,0.0625
613,102.0,,128,2,1.0000,0.1250
614,50.0,,128,1,1.0000,0.0625
615,115.0,,128,1,1.0000,0.0625
